year,authors,title,first_author,journal,citations,tags
2020,"Maguire, Jackson, Marson, Nevitt, ",Treatments for the prevention of Sudden Unexpected Death in Epilepsy (SUDEP).,Maguire,Cochrane Database Syst Rev,33,PCCC
2023,"Christian, Berzins, Weldon, Toma, Gabbay, Watkins, Forder, ",Connected communities | Learning lessons from person-centred community-based support services’ implementation.,Christian,NIHR Open Research,???,HACAL | IMPACT
2023,"Doherty, O'Donoghue, Harrison, ",Developing an understanding of the risk factors for falls among adults with intellectual disabilities: a commentary.,Doherty,Br J Community Nurs,0,MIDAS | MIDAS RaCES
2021,"Giebel, Knopman, Mioshi, Khondoker, ",Distinguishing Frontotemporal Dementia From Alzheimer Disease Through Everyday Function Profiles: Trajectories of Change.,Giebel,J Geriatr Psychiatry Neurol,4,HACAL | MIDAS
2019,"Bresnahan, Martin-McGill, Milburn-McNulty, Powell, Sills, Marson, ",Sulthiame add-on therapy for epilepsy.,Bresnahan,Cochrane Database Syst Rev,3,CLAHRC
2021,"Gonçalves, von Hafe, Filipe, ",Formal home care use and spousal health outcomes.,Gonçalves,Soc Sci Med,3,EPHC | MIDAS
2021,"Harrison, Hill, Palmer, ",Identifying risk factors for mortality in patients admitted to hospital with COVID-19.,Harrison,Br J Card Nurs,???,MIDAS | MIDAS RaCES
2022,"Newton, Beaver, Clegg, ",Patient initiated follow-up in cancer patients: A systematic review.,Newton,Front Oncol,16,MIDAS
2024,"Schneider, Hamer, Smith, Hill, ",COMMENTARY PART 2: WEIGHT LOSS INTERVENTIONS FOR IMPROVING FERTILITYA SYNTHESIS OF CURRENT EVIDENCE,Schneider,The Practising Midwife,0,MIDAS
2020,"Giebel, Harvey, Akpan, Chamberlain, ",Reducing hospital admissions in older care home residents: a 4-year evaluation of the care home innovation Programme (CHIP).,Giebel,BMC Health Serv Res,20,HACAL | MIDAS
2023,"Giebel, Reilly, Gabbay, Dickinson, Tetlow, Hogan, Griffiths, Cooper, ",Dementia care navigation: A systematic review on different service types and their prevalence.,Giebel,Int J Geriatr Psychiatry,3,HACAL | Public Advisor
2023,"Teodorowski, Rodgers, Fleming, Tahir, Ahmed, Frith, ",Exploring how to improve the involvement of Polish and South Asian communities around big data research. A qualitative study using COM-B model.,Teodorowski,Int J Popul Data Sci,1,CHI | Public Advisor
2022,"Khedmati Morasae, Rose, Gabbay, Buckels, Morris, Poll, Goodall, Barnett, Barr, ",Evaluating the Effectiveness of a Local Primary Care Incentive Scheme: A Difference-in-Differences Study.,Khedmati Morasae,Med Care Res Rev,1,HACAL
2024,"Davies, McKinley, Gabbay, Katz, Strain, ",Clinical academics' experiences of REF2021.,Davies,Clin Med (Lond),1,HACAL
2024,"BENNETT, SCHLÜTER, MELIS, WEBB, REDDY, BARR, WICKHAM, TAYLOR-ROBINSON, ",Monitoring a Fragile Child Protection System: a Longitudinal Local Area Ecological Analysis of the Inequalities Impact of Children’s Services Inspections on Statutory Child Welfare Interventions in England,BENNETT,Journal of Social Policy,1,IPH
2023,"Downe, Nowland, Clegg, Akooji, Harris, Farrier, Gondo, Finlayson, Thomson, Kingdon, Mehrtash, McCrimmon, Tunçalp, ",Theories for interventions to reduce physical and verbal abuse: A mixed methods review of the health and social care literature to inform future maternity care.,Downe,PLOS Glob Public Health,5,MIDAS
2024,"Giebel, ",Can psychotic symptom identification help to improve Young-onset dementia care?,Giebel,Int Psychogeriatr,0,HACAL
2021,"Mulholland, McIntyre, Haines-Delmont, Whittington, Comerford, Corcoran, ","Investigation to identify individual socioeconomic and health determinants of suicidal ideation using responses to a cross-sectional, community-based public health survey.",Mulholland,BMJ Open,16,HACAL | Public Advisor
2019,"Bray, McMahon, Bangee, Al-Khalidi, Benedetto, Chauhan, Clegg, Georgiou, Gibson, Lane, Lip, Lightbody, Sekhar, Chatterjee, Watkins, ",Etiologic workup in cases of cryptogenic stroke: protocol for a systematic review and comparison of international clinical practice guidelines.,Bray,Syst Rev,2,MIDAS
2021,"Marson, Burnside, Appleton, Smith, Leach, Sills, Tudur-Smith, Plumpton, Hughes, Williamson, Baker, Balabanova, Taylor, Brown, Hindley, Howell, Maguire, Mohanraj, Smith, ","The SANAD II study of the effectiveness and cost-effectiveness of valproate versus levetiracetam for newly diagnosed generalised and unclassifiable epilepsy: an open-label, non-inferiority, multicentre, phase 4, randomised controlled trial.",Marson,Lancet,131,PCCC
2019,"Doherty, Jones, Chauhan, Gibson, ",Healthcare practitioners' views and experiences of barriers and facilitators to weight management interventions for adults with intellectual disabilities.,Doherty,J Appl Res Intellect Disabil,2,CLAHRC
2019,"Wingfield, MacPherson, Sodha, Tucker, Mithoo, Squire, Cleary, ",Contacts of underserved tuberculosis patients have higher odds of TB disease in North West England: a cohort study.,Wingfield,Int J Tuberc Lung Dis,3,CLAHRC
2024,"Noble, Lane, Lloyd, Morris, Bell, Shillito, Dixon, Marson, ","'Blue-lighting' seizure-related needs in care homes: a retrospective analysis of ambulance call-outs for seizures in North West England (2014-2021), their management and costs, with community comparisons.",Noble,BMJ Open,0,CHI | PCCC | Public Advisor
2021,"Doherty, Benedetto, Harris, Boland, Christian, Hill, Bhutani, Clegg, ",The effectiveness of psychological support interventions for those exposed to mass infectious disease outbreaks: a systematic review.,Doherty,BMC Psychiatry,10,MIDAS
2021,"Hill, Harrison, Harris, Twamley, ","Virtual reality, the COVID-19 pandemic and rehabilitation for community-dwelling older adults.",Hill,Br J Community Nurs,1,MIDAS | MIDAS RaCES
2022,"Bell, Pennington, Hill, Harrison, ",Prehospital Airway Management.,Bell,J Paramed Pract,???,MIDAS | MIDAS RaCES
2023,"Dodd, Butterfield, Davies, Furbo, Morris, Brown, ",Assessing the barriers and facilitators of climate action planning in local governments: a two-round survey of expert opinion.,Dodd,BMC Public Health,1,EPHC
2019,"McElroy, McIntyre, Bentall, Wilson, Holt, Kullu, Nathan, Kerr, Panagaki, McKeown, Saini, Gabbay, Corcoran, ","Mental Health, Deprivation, and the Neighborhood Social Environment: A Network Analysis",McElroy,Clinical Psychological Science,37,CLAHRC | Public Advisor
2020,"Carter, Fisher-Smith, Porter, Lane, Peak, Taylor-Robinson, Bracken, Carrol, ",Being 'at-home' on outpatient parenteral antimicrobial therapy (OPAT): a qualitative study of parents' experiences of paediatric OPAT.,Carter,Arch Dis Child,10,IPH
2020,"McMahon, Bangee, Benedetto, Bray, Georgiou, Gibson, Lane, Al-Khalidi, Chatterjee, Chauhan, Clegg, Lightbody, Lip, Sekhar, Watkins, ",Etiologic Workup in Cases of Cryptogenic Stroke: A Systematic Review of International Clinical Practice Guidelines.,McMahon,Stroke,25,MIDAS
2018,"Greenhalgh, Weston, Dundar, Nevitt, Marson, ",Antiepileptic drugs as prophylaxis for postcraniotomy seizures.,Greenhalgh,Cochrane Database Syst Rev,11,CLAHRC
2020,"Harper, Maden, Dickson, ",Across five levels: The evidence of impact model,Harper,Evaluation,3,CLAHRC
2023,"Hill, Hebatalla, Hamer, Gomez, Harrison, Bongers, ",Non-invasive respiratory support in the management of COVID-19: a synthesis of systematic reviews.,Hill,Br J Card Nurs,???,MIDAS | MIDAS RaCES
2021,"Giebel, Hanna, Tetlow, Ward, Shenton, Cannon, Butchard, Komuravelli, Gaughan, Eley, Rogers, Rajagopal, Limbert, Callaghan, Whittington, Shaw, Gabbay, ","""A piece of paper is not the same as having someone to talk to"": accessing post-diagnostic dementia care before and since COVID-19 and associated inequalities.",Giebel,Int J Equity Health,33,HACAL | Public Advisor
2021,"Porroche-Escudero, Popay, Ward, Ahmed, Akeju, Cloke, Gabbay, Hassan, Khan, Khedmati-Morasae, ",From fringe to centre-stage: experiences of mainstreaming health equity in a health research collaboration.,Porroche-Escudero,Health Res Policy Syst,6,MIDAS | Public Advisor
2024,"Bray, Georgiou, Hives, Iqbal, Benedetto, Spencer, Harris, Clegg, Williams, Rutter, Watkins, ",Non-pharmacological interventions for the reduction and maintenance of blood pressure in people with prehypertension: a systematic review protocol.,Bray,BMJ Open,1,MIDAS
2018,"Gibson, Ogese, Pirmohamed, ",Genetic and nongenetic factors that may predispose individuals to allergic drug reactions.,Gibson,Curr Opin Allergy Clin Immunol,12,CLAHRC
2024,"Teodorowski, Jones, Tahir, Ahmed, Rodgers, Frith, ",Public Involvement and Engagement in Big Data Research: Scoping Review.,Teodorowski,J Particip Med,0,CHI
2023,"Teodorowski, Rodgers, Fleming, Tahir, Ahmed, Frith, ","'To me, it's ones and zeros, but in reality that one is death': A qualitative study exploring researchers' experience of involving and engaging seldom-heard communities in big data research.",Teodorowski,Health Expect,7,CHI | Public Advisor
2021,"Dennis, Wamil, Alberts, Oben, Cuthbertson, Wootton, Crooks, Gabbay, Brady, Hishmeh, Attree, Heightman, Banerjee, Banerjee, ","Multiorgan impairment in low-risk individuals with post-COVID-19 syndrome: a prospective, community-based study.",Dennis,BMJ Open,366,HACAL
2021,"McCracken, Harrison, Hill, ",Self-guided technology to improve health-related behaviour and quality of life in people with cancer.,McCracken,Br J Community Nurs,1,MIDAS | MIDAS RaCES
2017,"Porroche-Escudero, ",[Problematising disinformation in breast cancer awareness campaigns].,Porroche-Escudero,Gac Sanit,7,CLAHRC
2022,"Teodorowski, Rodgers, Fleming, Frith, ",Use of the Hashtag #DataSavesLives on Twitter: Exploratory and Thematic Analysis.,Teodorowski,J Med Internet Res,3,CHI
2023,"Mansoor, Harrison, Hill, ",Cognitive frailty in older adults with diabetes: prevalence and risk factors.,Mansoor,Br J Community Nurs,0,MIDAS | MIDAS RaCES
2016,"Porroche-Escudero, ",Empoderamiento: el santo grial de las campañas de cáncer de mama,Porroche-Escudero,Revista Internacional de Sociología,4,CLAHRC
2022,"Boland, Connell, Thetford, Janssen, ",Exploring the factors influencing the use of electrically assisted bikes (e-bikes) by stroke survivors: a mixed methods multiple case study.,Boland,Disabil Rehabil,6,HACAL | MIDAS
2024,"Schneider, Hamer, Smith, Hill, ",COMMENTARY PART 1: EVALUATING THE ASSOCIATION OF FEMALE OBESITY WITH THE RISK OF LIVE BIRTH FOLLOWING IVF - IMPLICATIONS FOR CLINICAL PRACTICE,Schneider,The Practising Midwife,0,MIDAS
2020,"Hare, Hill, Clegg, ",Home-Based Exercise and People With Parkinson's Disease: A Systematic Review.,Hare,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2023,"Fahy, Alexiou, Daras, Mason, Bennett, Taylor-Robinson, Barr, ","Mental health impact of cuts to local government spending on cultural, environmental and planning services in England: a longitudinal ecological study.",Fahy,BMC Public Health,3,CHI | IPH
2024,"Gordon, Davidson, Roffe, Clegg, Booth, Lightbody, Harris, Sohani, Watkins, ",Evaluating methods of detecting and determining the type of urinary incontinence in adults after stroke: A systematic review.,Gordon,Neurourol Urodyn,0,MIDAS
2021,"Watson, Giebel, Green, Darlington‐Pollock, Akpan, ",Use of routine and cohort data globally in exploring dementia care pathways and inequalities: A systematic review,Watson,International Journal of Geriatric Psychiatry,18,HACAL
2020,"Giebel, McIntyre, Alfirevic, Corcoran, Daras, Downing, Gabbay, Pirmohamed, Popay, Wheeler, Holt, Wilson, Bentall, Barr, ",The longitudinal NIHR ARC North West Coast Household Health Survey: exploring health inequalities in disadvantaged communities.,Giebel,BMC Public Health,10,CHI | HACAL | IPH | PCCC | Public Advisor
2020,"Downing, Rose, Saini, Matata, McIntosh, Comerford, Wilson, Pemberton, Harper, Shaw, Daras, Barr, ",Impact of a community-based cardiovascular disease service intervention in a highly deprived area.,Downing,Heart,7,CHI | CLAHRC | IPH | Public Advisor
2020,"Banerjee, Benedetto, Gichuru, Burnell, Antoniou, Schilling, Strain, Ryan, Watkins, Marshall, Sutton, ",Adherence and persistence to direct oral anticoagulants in atrial fibrillation: a population-based study.,Banerjee,Heart,83,MIDAS
2022,"Giebel, Ivan, Burger, Ddumba, ","Impact of COVID-19 public health restrictions on older people in Uganda: ""hunger is really one of those problems brought by this COVID"".",Giebel,Int Psychogeriatr,21,HACAL
2022,"Hill, Gomez, Harrison, ",Dementia and the risk of poor outcomes as a result of the COVID-19 pandemic.,Hill,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2024,"Hill, Gratton, Kulkarni, Hamer, Harrison, Harris, Chesters, Duddy, Collins, Clegg, ","The effectiveness of evidence-based healthcare educational interventions on healthcare professionals' knowledge, skills, attitudes, professional practice and healthcare outcomes: Systematic review and meta-analysis.",Hill,J Eval Clin Pract,0,MIDAS
2021,"Harrison, O'Donoghue, Hill, ",The use of pedometers in the workplace to increase physical activity.,Harrison,Br J Card Nurs,???,MIDAS | MIDAS RaCES
2016,"Cummings, Whittaker, ",Listening visits by health visitors as an intervention for mild-to-moderate postnatal depression or anxiety,Cummings,Journal of Health Visiting,???,CLAHRC
2020,"Almilaji, Smith, Surgenor, Clegg, Williams, Thomas, Snook, ",Refinement and validation of the IDIOM score for predicting the risk of gastrointestinal cancer in iron deficiency anaemia.,Almilaji,BMJ Open Gastroenterol,11,MIDAS
2021,"Giebel, Morley, Komuravelli, ",A socially prescribed community service for people living with dementia and family carers and its long-term effects on well-being.,Giebel,Health Soc Care Community,11,HACAL
2018,"Doherty, Jones, Chauhan, Gibson, ",An integrative review of multicomponent weight management interventions for adults with intellectual disabilities.,Doherty,J Appl Res Intellect Disabil,23,CLAHRC
2022,"Chirico, Ottoboni, Giebel, Pappadà, Valente, Degli Esposti, Gabbay, Chattat, ",COVID-19 and community-based care services: Experiences of people living with dementia and their informal carers in Italy.,Chirico,Health Soc Care Community,9,HACAL
2021,"Panebianco, Al-Bachari, Hutton, Marson, ",Gabapentin add-on treatment for drug-resistant focal epilepsy.,Panebianco,Cochrane Database Syst Rev,9,PCCC
2024,"Harrison, Saez, Vernon, Hill, ","Diagnostic accuracy of bedside screening tools for aspiration risk in acute stroke, a commentary.",Harrison,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2018,"Cockshott, Kiemle, Byrne, Gabbay, ",“Back to Square One”: The Experience of Straddling Adolescence and Early Adulthood in Unemployed UK University Graduates With Common Mental Health Issues,Cockshott,Emerging Adulthood,2,CLAHRC
2024,"Faulkner, Dickinson, Limbert, Giebel, ",The experiences and perspectives of older adult mental health professional staff teams when supporting people with young-onset dementia.,Faulkner,Dementia (London),1,HACAL | Public Advisor
2019,"Hassan, Leavey, Rooney, ",Exploring English speaking Muslim women's first-time maternity experiences: a qualitative longitudinal interview study.,Hassan,BMC Pregnancy Childbirth,22,CLAHRC
2020,"Kampanellou, Wilberforce, Worden, Giebel, Challis, Bhui, ",The Barts Explanatory Model Inventory for Dementia: An item reduction approach based on responses from South Asian communities.,Kampanellou,Int J Geriatr Psychiatry,1,HACAL | MIDAS
2019,"Jukes, Bjerre, Coupe, Gibson, ",Pilot Study Evaluating the Feasibility of Comparing Computer Game Play with Close Work During Occlusion in Children Aged 2-7 Years with Amblyopia.,Jukes,Br Ir Orthopt J,2,CLAHRC
2019,"Giebel, McIntyre, Daras, Gabbay, Downing, Pirmohamed, Walker, Sawicki, Alfirevic, Barr, ",What are the social predictors of accident and emergency attendance in disadvantaged neighbourhoods? Results from a cross-sectional household health survey in the north west of England.,Giebel,BMJ Open,23,CHI | CLAHRC | IPH
2022,"Barr, Zhang, Green, Buchan, ",A blueprint for synthetic control methodology: a causal inference tool for evaluating natural experiments in population health.,Barr,BMJ,2,IPH
2019,"McMahon, Thomson, Kaner, Bambra, ",Effects of prevention and harm reduction interventions on gambling behaviours and gambling related harm: An umbrella review.,McMahon,Addict Behav,87,CLAHRC
2020,"Hill, Smith, Clegg, ",Probiotics may be considered for children and adults with cystic fibrosis.,Hill,Evid Based Nurs,1,MIDAS | MIDAS RaCES
2018,"Worsley, McIntyre, Bentall, Corcoran, ",Childhood maltreatment and problematic social media use: The role of attachment and depression.,Worsley,Psychiatry Res,80,CLAHRC
2018,"Al-Naher, Wright, Devonald, Pirmohamed, ",Renal function monitoring in heart failure - what is the optimal frequency? A narrative review.,Al-Naher,Br J Clin Pharmacol,27,CLAHRC
2021,"Bennett, Webb, Mason, Schlüter, Fahy, Alexiou, Wickham, Barr, Taylor-Robinson, ",Funding for preventative Children’s Services and rates of children becoming looked after: A natural experiment using longitudinal area-level data in England,Bennett,Children and Youth Services Review,12,IPH
2024,"Noble, Morris, Dixon, Mathieson, Ridsdale, Morgan, Dickson, Goodacre, Jackson, Hughes, Marson, Holmes, ",Service users' preferences and feasibility - which alternative care pathway for adult ambulance users achieves the optimal balance? Workshops for the COLLABORATE project.,Noble,Seizure,1,PCCC
2022,"Giebel, Hanna, Cannon, Marlow, Tetlow, Mason, Shenton, Rajagopal, Gabbay, ",Are we allowed to visit now? Concerns and issues surrounding vaccination and infection risks in UK care homes during COVID-19.,Giebel,Age Ageing,15,HACAL | Public Advisor
2020,"Giebel, Eastham, Cannon, Wilson, Wilson, Pearson, ",Evaluating a young-onset dementia service from two sides of the coin: staff and service user perspectives.,Giebel,BMC Health Serv Res,16,HACAL | MIDAS | Public Advisor
2023,"Alexiou, Mason, Fahy, Taylor-Robinson, Barr, ",Assessing the impact of funding cuts to local housing services on drug and alcohol related mortality: a longitudinal study using area-level data in England,Alexiou,International Journal of Housing Policy,7,IPH
2021,"Cox, Miller, ",A qualitative systematic review of Early Intervention in Psychosis service user perspectives regarding valued aspects of treatment with a focus on cognitive behavioural therapy,Cox,The Cognitive Behaviour Therapist,3,HACAL
2022,"Hill, Harrison, Christian, Reed, Clegg, Duffield, Goodson, Marson, ",The prevalence of comorbidity in rheumatoid arthritis: a systematic review and meta-analysis.,Hill,Br J Community Nurs,15,MIDAS | PCCC
2022,"Elahi, McIntyre, Thomas, Abernethy, Bentall, White, ",Symptoms of Paranoia Experienced by Students of Pakistani Heritage in England: The Role of Explicit and Implicit Identities and Perceived Discrimination.,Elahi,J Nerv Ment Dis,0,HACAL
2023,"Corcoran, ","Poverty, ACEs and stigmatised places: The application of psychology to the challenges of disadvantage.",Corcoran,Psychol Psychother,0,HACAL
2021,"Martin, Downing, Collins, Godman, Alfirevic, Greenhalgh, Pirmohamed, ",Examining the uptake of predictive BRCA testing in the UK; findings and implications.,Martin,Eur J Hum Genet,4,PCCC
2017,"Barr, Higgerson, Whitehead, ",Investigating the impact of the English health inequalities strategy: time trend analysis.,Barr,BMJ,85,CLAHRC
2018,"Allen, Harris, Brown, Humphris, Zhou, Rogers, ",High levels of socioeconomic deprivation do not inhibit patients' communication of concerns in head and neck cancer review clinics.,Allen,Br J Oral Maxillofac Surg,7,CLAHRC
2023,"Giebel, Saldarriaga, Montoya, Gabbay, Zuluaga, ","ADDRESSING UNMET MENTAL HEALTH NEEDS OF OLDER ADULTS IN TURBO, COLOMBIA: A PILOT INTERVENTION",Giebel,Innovation in Aging,???,HACAL
2022,"Giebel, ",Young-onset dementia and its difficulties in diagnosis and care.,Giebel,Int Psychogeriatr,5,HACAL
2024,"Hughes, Hanna, Wiles, Taylor, Giebel, ",The experiences of caring for someone with dementia and a learning disability: A qualitative systematic review.,Hughes,Dementia (London),0,HACAL
2020,"Harrison, Timoroksa, Gregary, Hill, ",Adopting evidence-based guidelines for acute stroke care: barriers and enablers for health professionals.,Harrison,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2023,"Hanna, Clarke, Woolfall, Hassan, Abba, Hajj, Deja, Ahmed, Joseph, Ring, Allen, Byrne, Gabbay, ","The perception of risk in contracting and spreading COVID-19 amongst individuals, households and vulnerable groups in England: a longitudinal qualitative study.",Hanna,BMC Public Health,4,HACAL | Public Advisor
2018,"Harper, McKeown, ",Why make the effort? Exploring recovery college engagement,Harper,Mental Health and Social Inclusion,5,CLAHRC
2024,"Mbeta, McDowell, West, Hill, Sankaranarayanan, ",Wearable cuffless blood pressure monitoring devices: a commentary,Mbeta,British Journal of Community Nursing,0,MIDAS | MIDAS RaCES
2021,"Adan, Neligan, Nevitt, Pullen, Sander, Marson, ",Prognostic factors predicting an unprovoked seizure recurrence in children and adults following a first unprovoked seizure,Adan,Cochrane Database of Systematic Reviews,2,PCCC
2021,"Daras, Alexiou, Rose, Buchan, Taylor-Robinson, Barr, ",How does vulnerability to COVID-19 vary between communities in England? Developing a Small Area Vulnerability Index (SAVI).,Daras,J Epidemiol Community Health,62,CHI | IPH
2017,"Maden, Cunliffe, McMahon, Booth, Carey, Paisley, Dickson, Gabbay, ",Use of programme theory to understand the differential effects of interventions across socio-economic groups in systematic reviews-a systematic methodology review.,Maden,Syst Rev,19,CLAHRC
2024,"Giebel, Hanna, Tetlow, Gabbay, Cannon, ",Co‐producing a board game to learn and engage about dementia inequalities: First impacts on knowledge in the general population,Giebel,Health Expectations,3,HACAL | Public Advisor
2024,"Giebel, Watson, Dickinson, Gabbay, Halpin, Harding, Swarbrick, ",Do people with dementia and carers get what they need? Barriers in social care and carers needs assessments.,Giebel,Dementia (London),2,HACAL | Public Advisor
2023,"Saez, Harrison, Hill, ",How common is dysphagia in older adults living at home and what are the potential risk factors?,Saez,Br J Community Nurs,4,MIDAS | MIDAS RaCES
2022,"Hanna, Giebel, Butchard, Tetlow, Ward, Shenton, Cannon, Komuravelli, Gaughan, Eley, Rogers, Rajagopal, Limbert, Callaghan, Whittington, Shaw, Donnellan, Gabbay, ",Resilience and supporting people living with dementia during the time of COVID-19; A qualitative study.,Hanna,Dementia (London),18,HACAL | Public Advisor
2022,"Giebel, Zuluaga, Saldarriaga, White, Reilly, Montoya, Allen, Liu, Castaño-Pineda, Gabbay, ",Understanding post-conflict mental health needs and co-producing a community-based mental health intervention for older adults in Colombia: a research protocol.,Giebel,BMC Health Serv Res,6,HACAL | Public Advisor
2022,"Bennett, Schlüter, Melis, Bywaters, Alexiou, Barr, Wickham, Taylor-Robinson, ","Child poverty and children entering care in England, 2015-20: a longitudinal ecological study at the local area level.",Bennett,Lancet Public Health,23,IPH
2020,"Weir-McCall, Joyce, Clegg, MacKay, Baxter, Dendl, Rintoul, Qureshi, Miles, Gilbert, ",Dynamic contrast-enhanced computed tomography for the diagnosis of solitary pulmonary nodules: a systematic review and meta-analysis.,Weir-McCall,Eur Radiol,13,MIDAS
2023,"Pennington, Bell, Wright, Hill, ",Impact of COVID-19 on out-of-hospital cardiac arrest care processes.,Pennington,J Paramed Pract,???,MIDAS | MIDAS RaCES
2022,"Zhang, Barr, Green, Hughes, Ashton, Charalampopoulos, García-Fiñana, Buchan, ",Impact of community asymptomatic rapid antigen testing on covid-19 related hospital admissions: synthetic control study.,Zhang,BMJ,18,IPH
2020,"Hassan, Leavey, Rooney, Puthussery, ",A qualitative study of healthcare professionals' experiences of providing maternity care for Muslim women in the UK.,Hassan,BMC Pregnancy Childbirth,15,HACAL
2022,"Barr, Daras, Manley, Mckeown, Halliday, Hollingsworth, ",The Mental Health And Wellbeing Impact of A Community Wealth Building Programme – A Difference-In-Differences Study,Barr,SSRN Electronic Journal,???,CHI | IPH
2016,"Powell, Saunders, Rigby, Marson, ",Immediate-release versus controlled-release carbamazepine in the treatment of epilepsy.,Powell,Cochrane Database Syst Rev,2,CLAHRC
2020,"Giebel, Corcoran, Goodall, Campbell, Gabbay, Daras, Barr, Wilson, Kullu, ",Do people living in disadvantaged circumstances receive different mental health treatments than those from less disadvantaged backgrounds?,Giebel,BMC Public Health,21,CHI | HACAL | IPH | MIDAS | Public Advisor
2024,"Rodgers, Geary, Villegas-Diaz, Buchan, Burnett, Clemens, Crook, Duckworth, Green, King, Zhang, Butters, ",Creating a learning health system to include environmental determinants of health: The GroundsWell experience.,Rodgers,Learn Health Syst,1,CHI
2019,"Jabbari Beyrami, Doshmangir, Ahmadi, Asghari Jafarabadi, Khedmati Morasae, Gordeev, ",Impact of rural Family Physician programme on maternal and child health indicators in Iran: an interrupted time series analysis.,Jabbari Beyrami,BMJ Open,14,CLAHRC
2022,"Craig, Barr, Baxter, Brown, Cheetham, Gibson, Katikireddi, Moffatt, Morris, Munford, Richiardi, Sutton, Taylor-Robinson, Wickham, Xiang, Bambra, ",Evaluation of the mental health impacts of Universal Credit: protocol for a mixed methods study.,Craig,BMJ Open,3,IPH
2023,"Alwan, Clutterbuck, Pantelic, Hayer, Fisher, Hishmeh, Heightman, Allsopp, Wootton, Khan, Hastie, Jackson, Rayner, Brown, Parrett, Jones, Smith, Clarke, Mcfarland, Gabbay, Banerjee, ","Long Covid active case finding study protocol: A co-produced community-based pilot within the STIMULATE-ICP study (Symptoms, Trajectory, Inequalities and Management: Understanding Long-COVID to Address and Transform Existing Integrated Care Pathways).",Alwan,PLoS One,5,HACAL
2021,"Heys, Downe, Thomson, ",'I know my place'; a meta-ethnographic synthesis of disadvantaged and vulnerable women's negative experiences of maternity care in high-income countries.,Heys,Midwifery,26,HACAL
2020,"Bresnahan, Atim-Oluk, Marson, ",Oxcarbazepine add-on for drug-resistant focal epilepsy.,Bresnahan,Cochrane Database Syst Rev,6,PCCC
2021,"Boland, Geddes, Hill, ",Families may benefit from spiritual care in acute settings when loved ones are coming to the end of their lives.,Boland,Evid Based Nurs,0,MIDAS | MIDAS RaCES
2017,"Tucker, Mithoo, Cleary, Woodhead, MacPherson, Wingfield, Davies, Wake, McMaster, Bertel Squire, ",Quantifying the need for enhanced case management for TB patients as part of TB cohort audit in the North West of England: a descriptive study.,Tucker,BMC Public Health,2,CLAHRC
